Time,Week, Game, Net, Rating., +/-, Viewers., +/-, Age 18-49
SNF,3, LAR-CLE, NBC,10.8,-6%, 18.59M,-4%,6.1
Early DH,3, BAL-KC (65%), CBS,8.3,1%, 13.66M,-1%,4
MNF,3, CHI-WSH, ESPN,6.2,-14%, 10.33M,-14%,3.7
TNF,3, TEN-JAX, NFLN,3.8,-27%, 6.32M,-27%,2.2
Late DH,2, NO-LAR (81%), FOX,13.2,10%, 23.34M,11%,7
SNF,2, PHI-ATL, NBC,10.3,-12%, 17.64M,-15%,5.8
Early DH,2, DAL-WSH (52%), FOX,9.2,21%, 16.09M,27%,4.9
Single,2, KC-OAK (32%);NE-MIA (24%), CBS,8.9,-11%, 15.24M,-13%,4.4
MNF,2, CLE-NYJ, ESPN,7.2,3%, 11.80M,1%,4.2
TNF,2, TB-CAR, NFLN,4.1,-5%, 6.64M,-5%,2.4
Late DH,1, NYG-DAL (85%), FOX,13.5,3%, 23.90M,3%,7.5
SNF,1, PIT-NE, NBC,12.6,1%, 22.21M,0.40%,7.5
Kickoff,1, GB-CHI, NBC,12.8,14%, 22.03M,16%,7.1
Single,1, TEN-CLE (27%);KC-JAX (27%), CBS,9,-7%, 15.38M,-10%,4.6
MNF,1, HOU-NO, ESPN,7.8,26%, 13.08M,27%,4.4
Early DH,1, WSH-PHI (39%), FOX,7.4, flat, 12.64M,1%,3.9
MNF,1, DEN-OAK, ESPN,6.5,10%, 10.62M,11%,3.8
